MSISDN,Topup date,Measure,Amount paid
0709505161,2022-10-03,1,149
0709505735,2022-10-03,1,99
0709507322,2022-10-03,1,99
0709508883,2022-10-03,1,99
0709509477,2022-10-03,1,49
0709515312,2022-10-03,1,100
0709517053,2022-10-03,1,99
0709518338,2022-10-03,1,99
0709519521,2022-10-03,1,99
0709523671,2022-10-03,2,10
0709523888,2022-10-03,1,99
0709524081,2022-10-03,1,99
0709529328,2022-10-03,1,99
0709530989,2022-10-03,1,99
0709531663,2022-10-03,1,49
0709538824,2022-10-03,1,100
0709542806,2022-10-03,1,199
0709545466,2022-10-03,1,99
0709546479,2022-10-03,1,100
0709554517,2022-10-03,1,49
0709556071,2022-10-03,1,149
0709557047,2022-10-03,1,249
0709561550,2022-10-03,1,99
0709561905,2022-10-03,1,99
0709562441,2022-10-03,2,248
0709563783,2022-10-03,1,449
0709564188,2022-10-03,1,99
0709565106,2022-10-03,1,99
0709568280,2022-10-03,1,149
0709571816,2022-10-03,2,199
0709576724,2022-10-03,1,299
0709576848,2022-10-03,1,0
0709578591,2022-10-03,1,99
0709578842,2022-10-03,1,99
0709579951,2022-10-03,1,300
0709580169,2022-10-03,1,299
0709583318,2022-10-03,1,199
0709583378,2022-10-03,1,300
0709586025,2022-10-03,1,299
0709589711,2022-10-03,1,149
0709590558,2022-10-03,1,99
0709593543,2022-10-03,1,99
0709597940,2022-10-03,1,199
0709598365,2022-10-03,1,99
0709599149,2022-10-03,2,100
0709599680,2022-10-03,1,349
0709599722,2022-10-03,1,99
0709600982,2022-10-03,2,200
0709603461,2022-10-03,1,199
0709603900,2022-10-03,1,99
0709617092,2022-10-03,6,294
0709617335,2022-10-03,3,147
0709617605,2022-10-03,2,0
0709618284,2022-10-03,1,0
0709618561,2022-10-03,1,99
0709619656,2022-10-03,1,0
0709619669,2022-10-03,1,0
0709619749,2022-10-03,1,0
0709621613,2022-10-03,1,99
0709622134,2022-10-03,1,99
0709623354,2022-10-03,1,0
0709623466,2022-10-03,1,99
0709623518,2022-10-03,1,99
0709624526,2022-10-03,1,149
0709625270,2022-10-03,1,149
0709625915,2022-10-03,1,99
0709626499,2022-10-03,1,99
0709626764,2022-10-03,3,0
0709627575,2022-10-03,1,99
0709629263,2022-10-03,1,99
0709629635,2022-10-03,1,99
0709630317,2022-10-03,1,99
0709631993,2022-10-03,1,99
0709632753,2022-10-03,1,349
0709634984,2022-10-03,1,99
0709638324,2022-10-03,1,0
0709640397,2022-10-03,1,0
0709640795,2022-10-03,1,149
0709642763,2022-10-03,1,0
0709642959,2022-10-03,1,99
0709643640,2022-10-03,1,149
0709643892,2022-10-03,1,99
0709653576,2022-10-03,1,299
0709654083,2022-10-03,1,99
0709655098,2022-10-03,1,99
0709655892,2022-10-03,1,199
0709656183,2022-10-03,1,149
0709656345,2022-10-03,1,349
0709657080,2022-10-03,1,199
0709658218,2022-10-03,1,99
0709659648,2022-10-03,1,99
0709659939,2022-10-03,1,49
0709661492,2022-10-03,1,0
0709661651,2022-10-03,1,199
0709661813,2022-10-03,2,0
0709662511,2022-10-03,1,99
0709664063,2022-10-03,1,99
0709664215,2022-10-03,2,349
0709665296,2022-10-03,2,0
0709666650,2022-10-03,1,50
0709668449,2022-10-03,2,299
0709673528,2022-10-03,2,0
0709677281,2022-10-03,1,149
0709678181,2022-10-03,1,299
0709683376,2022-10-03,1,49
0709684352,2022-10-03,2,149
0709684357,2022-10-03,1,0
0709684801,2022-10-03,1,99
0709686268,2022-10-03,1,99
0709686502,2022-10-03,2,398
0709686521,2022-10-03,1,49
0709686794,2022-10-03,1,0
0709686799,2022-10-03,1,0
0709687096,2022-10-03,1,0
0709687529,2022-10-03,1,0
0709691504,2022-10-03,1,149
0709692046,2022-10-03,1,100
0709698792,2022-10-03,1,99
0709698811,2022-10-03,1,349
0709703117,2022-10-03,1,100
0709704654,2022-10-03,1,99
0709710607,2022-10-03,1,99
0709711796,2022-10-03,2,49
0709712642,2022-10-03,2,0
0709713621,2022-10-03,1,199
0709713675,2022-10-03,1,0
0709713979,2022-10-03,1,0
0709713985,2022-10-03,1,149
0709716202,2022-10-03,1,49
0709716668,2022-10-03,1,99
0709716773,2022-10-03,2,10
0709719782,2022-10-03,1,99
0709723451,2022-10-03,1,0
0709723833,2022-10-03,1,149
0709723899,2022-10-03,1,100
0709724187,2022-10-03,1,149
0709730915,2022-10-03,1,249
0709733963,2022-10-03,1,199
0709734808,2022-10-03,2,0
0709734826,2022-10-03,1,0
0709735968,2022-10-03,1,0
0709736250,2022-10-03,2,0
0709736254,2022-10-03,1,0
0709736260,2022-10-03,2,0
0709736267,2022-10-03,2,0
0709736269,2022-10-03,1,0
0709736684,2022-10-03,2,199
0709736861,2022-10-03,2,399
0709736901,2022-10-03,2,0
0709736910,2022-10-03,2,0
0709736934,2022-10-03,1,0
0709736983,2022-10-03,1,0
0709736988,2022-10-03,1,49
0709740291,2022-10-03,2,0
0709740510,2022-10-03,1,149
0709740663,2022-10-03,1,0
0709740718,2022-10-03,1,49
0709741024,2022-10-03,1,0
0709747892,2022-10-03,1,299
0709748913,2022-10-03,1,99
0709752068,2022-10-03,1,199
0709752554,2022-10-03,1,99
0709752612,2022-10-03,1,300
0709756757,2022-10-03,1,349
0709757931,2022-10-03,2,198
0709759965,2022-10-03,2,150
0709765911,2022-10-03,1,99
0709766348,2022-10-03,2,148
0709778124,2022-10-03,1,799
0709782886,2022-10-03,1,149
0709783239,2022-10-03,1,149
0709787903,2022-10-03,1,149
0709789386,2022-10-03,1,99
0709791488,2022-10-03,1,99
0709794577,2022-10-03,2,98
0709794766,2022-10-03,1,49
0709796705,2022-10-03,1,149
0709796734,2022-10-03,1,100
0709798112,2022-10-03,1,49
0709798658,2022-10-03,1,100
0709801809,2022-10-03,1,199
0709803289,2022-10-03,1,99
0709803607,2022-10-03,2,0
0709805665,2022-10-03,1,99
0709807768,2022-10-03,1,449
0709810868,2022-10-03,1,799
0709810882,2022-10-03,1,99
0709812679,2022-10-03,1,99
0709812683,2022-10-03,2,148
0709813273,2022-10-03,1,99
0709814301,2022-10-03,1,199
0709815684,2022-10-03,1,99
0709827273,2022-10-03,1,100
0709827627,2022-10-03,1,100
0709829582,2022-10-03,2,400
0709839917,2022-10-03,1,99
0709840901,2022-10-03,1,199
0709846673,2022-10-03,1,99
0709853515,2022-10-03,1,49
0709854166,2022-10-03,1,99
0709854620,2022-10-03,1,99
0709854765,2022-10-03,1,99
0709859277,2022-10-03,2,448
0709864680,2022-10-03,2,10
0709873583,2022-10-03,1,149
0709882189,2022-10-03,1,99
0709885591,2022-10-03,1,100
0709885872,2022-10-03,3,448
0709890905,2022-10-03,1,299
0709902359,2022-10-03,1,149
0709902623,2022-10-03,1,99
0709906296,2022-10-03,1,100
0709907457,2022-10-03,1,99
0709908323,2022-10-03,1,349
0709908820,2022-10-03,1,99
0709909618,2022-10-03,1,100
0709911123,2022-10-03,1,99
0709913112,2022-10-03,1,49
0709913903,2022-10-03,1,199
0709915849,2022-10-03,1,99
0709915882,2022-10-03,1,99
0709917203,2022-10-03,1,149
0709917557,2022-10-03,1,99
0709917580,2022-10-03,1,99
0709919886,2022-10-03,1,100
0709921169,2022-10-03,1,99
0709928849,2022-10-03,1,300
0709929320,2022-10-03,1,99
0709930335,2022-10-03,1,99
0709936030,2022-10-03,1,149
0709936865,2022-10-03,1,149
0709939976,2022-10-03,1,249
0709940633,2022-10-03,1,100
0709942974,2022-10-03,1,99
0709944206,2022-10-03,1,99
0709946750,2022-10-03,1,99
0709947341,2022-10-03,1,99
0709950662,2022-10-03,1,149
0709950678,2022-10-03,1,99
0709951924,2022-10-03,1,99
0709952994,2022-10-03,1,299
0709954321,2022-10-03,1,100
0709954418,2022-10-03,1,99
0709958695,2022-10-03,1,149
0709959545,2022-10-03,1,99
0709959849,2022-10-03,1,49
0709963677,2022-10-03,1,199
0709965773,2022-10-03,1,99
0709967770,2022-10-03,1,99
0709982097,2022-10-03,1,49
0709984320,2022-10-03,1,49
0709984569,2022-10-03,1,99
0709987710,2022-10-03,1,349
0709991424,2022-10-03,1,99
0709992917,2022-10-03,1,349
0709999194,2022-10-03,1,249
0720103613,2022-10-03,1,99
0720277077,2022-10-03,1,100
0720382788,2022-10-03,1,49
0720453499,2022-10-03,1,49
0720478567,2022-10-03,1,49
0720478645,2022-10-03,1,199
0720513330,2022-10-03,1,99
0721500763,2022-10-03,1,49
0721500765,2022-10-03,1,149
0721501135,2022-10-03,1,49
0721501263,2022-10-03,1,149
0721501605,2022-10-03,2,148
0721501704,2022-10-03,1,299
0721502023,2022-10-03,1,99
0721502890,2022-10-03,1,100
0721504996,2022-10-03,1,99
0721511574,2022-10-03,1,300
0721511953,2022-10-03,2,98
0721518206,2022-10-03,1,149
0721518212,2022-10-03,1,99
0721518491,2022-10-03,1,199
0721518930,2022-10-03,2,98
0721529400,2022-10-03,1,199
0721529682,2022-10-03,1,99
0721551157,2022-10-03,1,149
0721554252,2022-10-03,1,149
0721554676,2022-10-03,1,99
0721554716,2022-10-03,1,149
0721554734,2022-10-03,1,249
0721554863,2022-10-03,1,99
0721556095,2022-10-03,1,99
0721557598,2022-10-03,1,99
0721559463,2022-10-03,1,100
0721564673,2022-10-03,1,149
0721564970,2022-10-03,1,49
0721567290,2022-10-03,1,149
0721567438,2022-10-03,1,149
0721567526,2022-10-03,1,149
0721568331,2022-10-03,1,99
0721569243,2022-10-03,1,49
0721570091,2022-10-03,1,149
0721570501,2022-10-03,2,10
0721573904,2022-10-03,1,99
0721576625,2022-10-03,1,99
0721578083,2022-10-03,1,249
0721579540,2022-10-03,1,99
0721584760,2022-10-03,1,100
0721586813,2022-10-03,1,100
0721586941,2022-10-03,1,99
0721588224,2022-10-03,1,99
0721588241,2022-10-03,1,300
0721588445,2022-10-03,1,199
0721588478,2022-10-03,1,99
0721588504,2022-10-03,1,249
0721588509,2022-10-03,1,99
0721588601,2022-10-03,1,99
0721589137,2022-10-03,1,49
0721589564,2022-10-03,1,99
0721589866,2022-10-03,1,349
0721592114,2022-10-03,1,99
0721592469,2022-10-03,1,249
0721593527,2022-10-03,1,99
0721593737,2022-10-03,1,99
0721594984,2022-10-03,1,99
0721595986,2022-10-03,1,100
0721597682,2022-10-03,1,199
0721598419,2022-10-03,4,99
0721600117,2022-10-03,1,349
0721600123,2022-10-03,1,349
0721601059,2022-10-03,1,49
0721601171,2022-10-03,1,449
0721602035,2022-10-03,1,99
0721603992,2022-10-03,1,249
0721604500,2022-10-03,1,199
0721604848,2022-10-03,1,49
0721604855,2022-10-03,1,299
0721606038,2022-10-03,1,99
0721606125,2022-10-03,1,249
0721606150,2022-10-03,1,99
0721606896,2022-10-03,1,199
0721606990,2022-10-03,1,799
0721607970,2022-10-03,1,99
0721607996,2022-10-03,1,149
0721608104,2022-10-03,1,199
0721608530,2022-10-03,1,99
0721610292,2022-10-03,1,149
0721610639,2022-10-03,1,99
0721611533,2022-10-03,2,398
0721611614,2022-10-03,1,199
0721614153,2022-10-03,1,49
0721614181,2022-10-03,1,100
0721614360,2022-10-03,1,799
0721616852,2022-10-03,2,148
0721617366,2022-10-03,1,99
0721617367,2022-10-03,1,99
0721617506,2022-10-03,1,199
0721618304,2022-10-03,3,147
0721619086,2022-10-03,1,99
0721619356,2022-10-03,1,99
0721621127,2022-10-03,1,99
0721630162,2022-10-03,1,199
0721630167,2022-10-03,1,149
0721630381,2022-10-03,1,49
0721630667,2022-10-03,1,199
0721630752,2022-10-03,1,49
0721632529,2022-10-03,1,99
0721633120,2022-10-03,1,100
0721634501,2022-10-03,1,299
0721634721,2022-10-03,1,99
0721634848,2022-10-03,1,300
0721637111,2022-10-03,1,99
0721639884,2022-10-03,1,49
0721641572,2022-10-03,1,249
0721642913,2022-10-03,2,198
0721645180,2022-10-03,1,49
0721645222,2022-10-03,1,349
0721645713,2022-10-03,1,50
0721645994,2022-10-03,1,100
0721646218,2022-10-03,1,100
0721646983,2022-10-03,1,99
0721647526,2022-10-03,1,99
0721648937,2022-10-03,1,99
0721649957,2022-10-03,1,99
0721650299,2022-10-03,1,99
0721650630,2022-10-03,1,99
0721651857,2022-10-03,1,99
0721653084,2022-10-03,1,50
0721653481,2022-10-03,1,49
0721654112,2022-10-03,1,99
0721654989,2022-10-03,1,349
0721655703,2022-10-03,1,99
0721655739,2022-10-03,1,149
0721655901,2022-10-03,1,199
0721656168,2022-10-03,1,99
0721656552,2022-10-03,1,199
0721659352,2022-10-03,1,349
0721666060,2022-10-03,1,49
0721668029,2022-10-03,1,249
0721669882,2022-10-03,1,100
0721673293,2022-10-03,1,349
0721673609,2022-10-03,2,449
0721673788,2022-10-03,2,298
0721674542,2022-10-03,1,149
0721674631,2022-10-03,1,99
0721676126,2022-10-03,1,449
0721677223,2022-10-03,1,299
0721681439,2022-10-03,1,149
0721683827,2022-10-03,1,99
0721685286,2022-10-03,1,99
0721685494,2022-10-03,2,199
0721687512,2022-10-03,1,49
0721687716,2022-10-03,1,0
0721688511,2022-10-03,1,249
0721688597,2022-10-03,1,99
0721688679,2022-10-03,1,49
0721689204,2022-10-03,1,99
0721690579,2022-10-03,1,149
0721692153,2022-10-03,1,249
0721692910,2022-10-03,1,299
0721693451,2022-10-03,1,99
0721694846,2022-10-03,3,349
0721696518,2022-10-03,1,100
0721696903,2022-10-03,1,199
0721697273,2022-10-03,1,449
0721697470,2022-10-03,1,100
0721697734,2022-10-03,1,349
0721698552,2022-10-03,1,99
0721699325,2022-10-03,1,99
0721700713,2022-10-03,1,99
0721702761,2022-10-03,1,149
0721703813,2022-10-03,1,149
0721705240,2022-10-03,1,99
0721707772,2022-10-03,1,199
0721708289,2022-10-03,1,349
0721708312,2022-10-03,1,99
0721708343,2022-10-03,1,199
0721708812,2022-10-03,1,199
0721709206,2022-10-03,3,109
0721711034,2022-10-03,1,99
0721713678,2022-10-03,1,149
0721714274,2022-10-03,1,49
0721715295,2022-10-03,1,99
0721716896,2022-10-03,1,199
0721716984,2022-10-03,1,149
0721721740,2022-10-03,1,199
0721721780,2022-10-03,1,249
0721722055,2022-10-03,1,50
0721722581,2022-10-03,1,149
0721723472,2022-10-03,1,299
0721723559,2022-10-03,5,99
0721723797,2022-10-03,1,99
0721724102,2022-10-03,9,441
0721726816,2022-10-03,1,199
0721734373,2022-10-03,1,199
0721734777,2022-10-03,1,249
0721734967,2022-10-03,1,99
0721735436,2022-10-03,1,99
0721735920,2022-10-03,1,99
0721735964,2022-10-03,1,99
0721736402,2022-10-03,1,149
0721736958,2022-10-03,1,99
0721738150,2022-10-03,1,99
0721738237,2022-10-03,1,99
0721738582,2022-10-03,1,149
0721738903,2022-10-03,1,99
0721739182,2022-10-03,1,300
0721739706,2022-10-03,1,99
0721740136,2022-10-03,1,299
0721741084,2022-10-03,1,249
0721742334,2022-10-03,1,149
0721742893,2022-10-03,1,99
0721743658,2022-10-03,1,349
0721743983,2022-10-03,1,49
0721744925,2022-10-03,1,99
0721744929,2022-10-03,1,349
0721745074,2022-10-03,1,249
0721745700,2022-10-03,2,49
0721746033,2022-10-03,1,100
0721746391,2022-10-03,1,99
0721749018,2022-10-03,1,199
0721750099,2022-10-03,1,99
0721752387,2022-10-03,1,299
0721753725,2022-10-03,1,49
0721754206,2022-10-03,3,147
0721754771,2022-10-03,2,0
0721754945,2022-10-03,1,299
0721756023,2022-10-03,1,349
0721756054,2022-10-03,1,99
0721756656,2022-10-03,3,310
0721757082,2022-10-03,1,149
0721758029,2022-10-03,1,100
0721758151,2022-10-03,1,100
0721762076,2022-10-03,1,99
0721764605,2022-10-03,1,99
0721765472,2022-10-03,1,99
0721765979,2022-10-03,1,249
0721766227,2022-10-03,1,0
0721766548,2022-10-03,1,299
0721766587,2022-10-03,1,99
0721767351,2022-10-03,1,249
0721775061,2022-10-03,2,148
0721775349,2022-10-03,1,249
0721775772,2022-10-03,2,149
0721776008,2022-10-03,1,99
0721776551,2022-10-03,2,198
0721777525,2022-10-03,1,100
0721781726,2022-10-03,1,99
0721785504,2022-10-03,1,0
0721786599,2022-10-03,1,199
0721786954,2022-10-03,1,0
0721794843,2022-10-03,1,149
0721801262,2022-10-03,2,10
0721802894,2022-10-03,1,99
0721802908,2022-10-03,1,0
0721809044,2022-10-03,1,0
0721810331,2022-10-03,1,99
0721810444,2022-10-03,1,199
0721810863,2022-10-03,1,0
0721811486,2022-10-03,1,0
0721813479,2022-10-03,1,0
0721814756,2022-10-03,1,0
0721814997,2022-10-03,1,199
0721815041,2022-10-03,1,0
0721818796,2022-10-03,1,99
0721819948,2022-10-03,1,449
0721820158,2022-10-03,1,0
0721821620,2022-10-03,1,0
0721823684,2022-10-03,1,149
0721835512,2022-10-03,1,299
0721838861,2022-10-03,1,449
0721840993,2022-10-03,1,99
0721841518,2022-10-03,1,199
0721843249,2022-10-03,1,349
0721850774,2022-10-03,1,99
0721850789,2022-10-03,1,149
0721850964,2022-10-03,3,900
0721853715,2022-10-03,3,656
0721853767,2022-10-03,1,99
0721861522,2022-10-03,1,149
0721863143,2022-10-03,1,100
0721863898,2022-10-03,1,49
0721864665,2022-10-03,1,149
0721865163,2022-10-03,1,100
0721865528,2022-10-03,1,99
0721866811,2022-10-03,1,100
0721867620,2022-10-03,1,199
0721867822,2022-10-03,1,99
0721868358,2022-10-03,1,99
0721868465,2022-10-03,1,99
0721868836,2022-10-03,1,199
0721872271,2022-10-03,1,0
0721873500,2022-10-03,1,99
0721873569,2022-10-03,1,149
0721873662,2022-10-03,1,99
0721874188,2022-10-03,1,149
0721875148,2022-10-03,1,349
0721876698,2022-10-03,1,99
0721876855,2022-10-03,1,99
0721877199,2022-10-03,1,249
0721878865,2022-10-03,1,99
0721879491,2022-10-03,1,299
0721882844,2022-10-03,1,99
0721883159,2022-10-03,1,99
0721884849,2022-10-03,1,99
0721886001,2022-10-03,1,149
0721886002,2022-10-03,1,149
0721886075,2022-10-03,1,49
0721886630,2022-10-03,1,349
0721886752,2022-10-03,1,100
0721886843,2022-10-03,1,149
0721887772,2022-10-03,1,99
0721889577,2022-10-03,1,199
0721890505,2022-10-03,1,449
0721892889,2022-10-03,1,99
0721893735,2022-10-03,1,99
0721893966,2022-10-03,1,149
0721894859,2022-10-03,1,149
0721895627,2022-10-03,1,99
0721896575,2022-10-03,1,99
0721898976,2022-10-03,1,299
0721899524,2022-10-03,1,249
0721904738,2022-10-03,1,99
0721905709,2022-10-03,1,99
0721905980,2022-10-03,1,99
0721906372,2022-10-03,1,99
0721906810,2022-10-03,1,149
0721907073,2022-10-03,1,99
0721907713,2022-10-03,1,99
0721907964,2022-10-03,1,99
0721908183,2022-10-03,1,249
0721908491,2022-10-03,1,349
0721909349,2022-10-03,1,199
0721909356,2022-10-03,1,99
0721909390,2022-10-03,1,249
0721911416,2022-10-03,1,199
0721912024,2022-10-03,1,199
0721916965,2022-10-03,1,99
0721917347,2022-10-03,1,99
0721920383,2022-10-03,1,99
0721920749,2022-10-03,1,99
0721922843,2022-10-03,1,99
0721922931,2022-10-03,2,99
0721923742,2022-10-03,1,99
0721923966,2022-10-03,1,99
0721924281,2022-10-03,1,199
0721925493,2022-10-03,1,449
0721925562,2022-10-03,1,149
0721925619,2022-10-03,2,0
0721925665,2022-10-03,1,49
0721926277,2022-10-03,1,99
0721926937,2022-10-03,1,349
0721928362,2022-10-03,1,199
0721929105,2022-10-03,2,99
0721929756,2022-10-03,1,199
0721929892,2022-10-03,1,99
0721930925,2022-10-03,1,99
0721932093,2022-10-03,1,449
0721932718,2022-10-03,1,349
0721942840,2022-10-03,1,199
0721942933,2022-10-03,1,49
0721953803,2022-10-03,1,149
0721954226,2022-10-03,1,99
0721955412,2022-10-03,1,199
0721956212,2022-10-03,1,199
0721957016,2022-10-03,1,300
0721958857,2022-10-03,2,0
0721959734,2022-10-03,1,99
0721959830,2022-10-03,1,0
0721960566,2022-10-03,1,199
0721961007,2022-10-03,2,248
0721962161,2022-10-03,1,100
0721962374,2022-10-03,1,199
0721962502,2022-10-03,1,100
0721965622,2022-10-03,1,149
0721970098,2022-10-03,1,449
0721972020,2022-10-03,1,149
0721972944,2022-10-03,1,99
0721975036,2022-10-03,1,100
0721975355,2022-10-03,1,99
0721975614,2022-10-03,1,99
0721976006,2022-10-03,1,100
0721976021,2022-10-03,1,149
0721976214,2022-10-03,2,599
0721979836,2022-10-03,1,299
0721986264,2022-10-03,1,349
0721988286,2022-10-03,1,99
0721990600,2022-10-03,1,349
0721990684,2022-10-03,1,449
0722025393,2022-10-03,1,99
0722034125,2022-10-03,1,149
0722062934,2022-10-03,1,99
0722097728,2022-10-03,2,10
0722106761,2022-10-03,1,199
0722128905,2022-10-03,1,100
0722142974,2022-10-03,1,99
0722248878,2022-10-03,1,349
0722259482,2022-10-03,1,100
0722388355,2022-10-03,1,149
0722422961,2022-10-03,2,10
0722480256,2022-10-03,1,99
0722508270,2022-10-03,1,149
0722523229,2022-10-03,1,199
0722528886,2022-10-03,1,249
0722715021,2022-10-03,1,99
0722888112,2022-10-03,1,99
0722990263,2022-10-03,1,99
0723108286,2022-10-03,1,99
0723261304,2022-10-03,1,100
0723312960,2022-10-03,1,99
0723329315,2022-10-03,1,99
0723361006,2022-10-03,1,100
0723361893,2022-10-03,1,149
0723505734,2022-10-03,1,49
0723509858,2022-10-03,1,249
0723514796,2022-10-03,2,349
0723516961,2022-10-03,1,49
0723519514,2022-10-03,1,99
0723522376,2022-10-03,1,99
0723523059,2022-10-03,1,49
0723524577,2022-10-03,1,99
0723534070,2022-10-03,1,99
0723534322,2022-10-03,1,99
0723539689,2022-10-03,1,199
0723550556,2022-10-03,1,0
0723561032,2022-10-03,1,99
0723561337,2022-10-03,1,249
0723562115,2022-10-03,1,99
0723562200,2022-10-03,1,99
0723563018,2022-10-03,1,149
0723566419,2022-10-03,1,49
0723568750,2022-10-03,1,99
0723569739,2022-10-03,1,49
0723571124,2022-10-03,1,199
0723571195,2022-10-03,1,99
0723574320,2022-10-03,2,299
0723582793,2022-10-03,1,199
0723584960,2022-10-03,1,100
0723585824,2022-10-03,1,99
0723586976,2022-10-03,2,200
0723597103,2022-10-03,1,99
0723599146,2022-10-03,1,99
0723599226,2022-10-03,1,149
0723600913,2022-10-03,1,99
0723602869,2022-10-03,1,0
0723603652,2022-10-03,1,100
0723603654,2022-10-03,1,100
0723603716,2022-10-03,1,199
0723603919,2022-10-03,1,49
0723604083,2022-10-03,1,99
0723604549,2022-10-03,2,99
0723604574,2022-10-03,1,49
0723604928,2022-10-03,1,199
0723606905,2022-10-03,1,99
0723607266,2022-10-03,1,99
0723607267,2022-10-03,1,99
0723607424,2022-10-03,1,99
0723607584,2022-10-03,1,199
0723608077,2022-10-03,1,199
0723608520,2022-10-03,1,100
0723609941,2022-10-03,1,449
0723612481,2022-10-03,1,300
0723614181,2022-10-03,2,148
0723614464,2022-10-03,1,49
0723614523,2022-10-03,1,249
0723614717,2022-10-03,1,349
0723618897,2022-10-03,1,149
0723619725,2022-10-03,1,99
0723620019,2022-10-03,1,99
0723620255,2022-10-03,1,349
0723620532,2022-10-03,1,99
0723623076,2022-10-03,1,99
0723623664,2022-10-03,1,99
0723624597,2022-10-03,1,100
0723627104,2022-10-03,1,0
0723628317,2022-10-03,1,99
0723628319,2022-10-03,1,99
0723631673,2022-10-03,1,99
0723631676,2022-10-03,1,149
0723635020,2022-10-03,1,149
0723635101,2022-10-03,1,149
0723635293,2022-10-03,1,99
0723635837,2022-10-03,1,99
0723636721,2022-10-03,1,250
0723637201,2022-10-03,1,199
0723637446,2022-10-03,1,99
0723637525,2022-10-03,1,299
0723637643,2022-10-03,1,49
0723638118,2022-10-03,1,49
0723638507,2022-10-03,1,149
0723638549,2022-10-03,1,149
0723638892,2022-10-03,1,99
0723640196,2022-10-03,1,99
0723640787,2022-10-03,2,398
0723640964,2022-10-03,1,99
0723641027,2022-10-03,1,199
0723641065,2022-10-03,1,100
0723641478,2022-10-03,1,149
0723641666,2022-10-03,1,99
0723652771,2022-10-03,1,149
0723653179,2022-10-03,1,99
0723653784,2022-10-03,1,249
0723654937,2022-10-03,2,99
0723654983,2022-10-03,1,199
0723655076,2022-10-03,1,100
0723655082,2022-10-03,2,299
0723655129,2022-10-03,1,199
0723656378,2022-10-03,3,99
0723656724,2022-10-03,1,99
0723656928,2022-10-03,1,99
0723657383,2022-10-03,5,1347
0723657881,2022-10-03,1,249
0723659097,2022-10-03,1,99
0723659896,2022-10-03,1,149
0723663740,2022-10-03,1,149
0723663940,2022-10-03,1,50
0723663958,2022-10-03,2,0
0723665029,2022-10-03,1,99
0723665049,2022-10-03,2,499
0723665088,2022-10-03,3,0
0723665499,2022-10-03,1,299
0723665606,2022-10-03,1,299
0723665683,2022-10-03,1,149
0723666203,2022-10-03,1,300
0723666392,2022-10-03,1,199
0723666815,2022-10-03,1,149
0723666932,2022-10-03,1,199
0723670325,2022-10-03,1,99
0723680241,2022-10-03,1,99
0723681902,2022-10-03,1,99
0723683164,2022-10-03,1,149
0723685913,2022-10-03,1,99
0723686511,2022-10-03,1,100
0723687332,2022-10-03,1,349
0723688231,2022-10-03,3,248
0723689733,2022-10-03,1,100
0723690683,2022-10-03,1,99
0723691411,2022-10-03,1,99
0723692089,2022-10-03,1,99
0723692573,2022-10-03,1,99
0723694459,2022-10-03,1,149
0723694909,2022-10-03,1,99
0723695412,2022-10-03,1,49
0723696380,2022-10-03,2,198
0723696932,2022-10-03,1,99
0723697355,2022-10-03,1,199
0723697930,2022-10-03,1,299
0723698993,2022-10-03,1,100
0723702737,2022-10-03,1,99
0723706407,2022-10-03,1,49
0723706862,2022-10-03,1,99
0723707198,2022-10-03,1,199
0723707511,2022-10-03,1,299
0723707672,2022-10-03,1,149
0723708641,2022-10-03,1,100
0723708733,2022-10-03,1,99
0723708849,2022-10-03,1,100
0723711438,2022-10-03,1,100
0723712834,2022-10-03,3,247
0723713216,2022-10-03,1,249
0723713941,2022-10-03,1,100
0723714036,2022-10-03,2,148
0723714065,2022-10-03,1,100
0723715034,2022-10-03,1,99
0723718520,2022-10-03,1,199
0723718554,2022-10-03,1,199
0723718669,2022-10-03,1,99
0723719434,2022-10-03,2,349
0723719760,2022-10-03,1,199
0723725808,2022-10-03,1,99
0723726346,2022-10-03,3,198
0723726914,2022-10-03,1,199
0723727141,2022-10-03,1,99
0723727398,2022-10-03,1,99
0723728797,2022-10-03,1,100
0723730165,2022-10-03,1,149
0723730202,2022-10-03,1,300
0723730610,2022-10-03,1,199
0723732857,2022-10-03,1,99
0723732936,2022-10-03,1,99
0723733310,2022-10-03,5,198
0723734442,2022-10-03,1,149
0723734524,2022-10-03,1,100
0723734719,2022-10-03,3,99
0723734862,2022-10-03,1,99
0723734910,2022-10-03,1,99
0723735179,2022-10-03,1,99
0723735765,2022-10-03,1,49
0723736251,2022-10-03,1,199
0723736588,2022-10-03,1,199
0723736897,2022-10-03,1,100
0723738240,2022-10-03,2,398
0723739275,2022-10-03,1,249
0723740102,2022-10-03,1,250
0723740463,2022-10-03,1,0
0723740499,2022-10-03,1,449
0723746956,2022-10-03,1,149
0723747075,2022-10-03,1,49
0723747100,2022-10-03,1,99
0723747488,2022-10-03,1,199
0723747539,2022-10-03,2,348
0723748831,2022-10-03,3,248
0723748912,2022-10-03,1,149
0723749233,2022-10-03,1,199
0723750033,2022-10-03,2,199
0723750946,2022-10-03,1,349
0723751873,2022-10-03,1,0
0723753354,2022-10-03,1,99
0723754421,2022-10-03,1,99
0723756947,2022-10-03,1,99
0723757322,2022-10-03,1,99
0723757822,2022-10-03,2,348
0723759367,2022-10-03,1,99
0723759627,2022-10-03,1,99
0723759670,2022-10-03,1,249
0723759702,2022-10-03,2,349
0723760060,2022-10-03,1,99
0723760088,2022-10-03,1,99
